Country_Code,Country_Name,Indicator_Code,Indicator_Name,Number of Records,Year,Value
CHE,Switzerland,NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1977,52563
GBR,United Kingdom,NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1977,20388
USA,United States,NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1977,27320
AUS,Australia,NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1977,28447
CAN,Canada,NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1977,27068
NLD,Netherlands,NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1977,29387
SGP,Singapore,NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1977,10677
NLD,Netherlands,NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1978,29831
NOR,Norway,NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1978,43547
SGP,Singapore,NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1978,11481
SWE,Sweden,NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1978,29685
CHE,Switzerland,NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1978,52449
AUS,Australia,NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1978,28242
DNK,Denmark,NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1978,35252
FRA,France,NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1978,25860
DEU,Germany,NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1978,25014
HKG,"Hong Kong SAR, China",NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1978,9417
CAN,Canada,NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1978,27681
GBR,United Kingdom,NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1978,21268
USA,United States,NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1978,28511
GBR,United Kingdom,NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1979,22001
USA,United States,NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1979,29175
AUS,Australia,NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1979,29063
CAN,Canada,NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1979,28345
SGP,Singapore,NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1979,12403
DNK,Denmark,NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1979,36260
FRA,France,NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1979,26700
DEU,Germany,NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1979,25991
HKG,"Hong Kong SAR, China",NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1979,9936
NLD,Netherlands,NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1979,30555
NOR,Norway,NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1979,45091
SWE,Sweden,NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1979,30766
CHE,Switzerland,NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1979,53896
SGP,Singapore,NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1980,12817
GBR,United Kingdom,NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1980,21474
USA,United States,NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1980,28814
AUS,Australia,NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1980,29627
CAN,Canada,NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1980,28587
DNK,Denmark,NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1980,36132
FRA,France,NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1980,27079
DEU,Germany,NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1980,26312
HKG,"Hong Kong SAR, China",NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1980,10586
NLD,Netherlands,NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1980,30535
NOR,Norway,NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1980,47165
SWE,Sweden,NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1980,30860
CHE,Switzerland,NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1980,56029
DNK,Denmark,NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1981,35607
FRA,France,NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1981,27206
DEU,Germany,NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1981,26390
HKG,"Hong Kong SAR, China",NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1981,11256
SGP,Singapore,NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1981,13467
AUS,Australia,NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1981,30330
CAN,Canada,NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1981,29024
NLD,Netherlands,NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1981,29917
NOR,Norway,NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1981,47746
SWE,Sweden,NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1981,30779
CHE,Switzerland,NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1981,56861
GBR,United Kingdom,NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1981,21313
USA,United States,NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1981,29208
AUS,Australia,NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1982,30385
CAN,Canada,NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1982,27728
DNK,Denmark,NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1982,36710
FRA,France,NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1982,27638
DEU,Germany,NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1982,26289
HKG,"Hong Kong SAR, China",NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1982,11389
NLD,Netherlands,NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1982,29409
NOR,Norway,NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1982,47611
SGP,Singapore,NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1982,13909
GBR,United Kingdom,NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1982,21728
USA,United States,NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1982,28431
SWE,Sweden,NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1982,30939
CHE,Switzerland,NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1982,55728
DNK,Denmark,NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1983,37764
NLD,Netherlands,NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1983,30021
NOR,Norway,NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1983,49480
